Month,n5,n10,SPY
2002-03-31,0.013937997729298157,0.0035709844367091126,0.033270193115843005
2002-04-30,-0.05983059552660264,-0.035069259538710984,-0.05815525718606962
2002-05-31,0.0,0.0,-0.005933677915250457
2002-06-30,0.0,0.0,-0.0738076411955142
2002-07-31,0.0,0.0,-0.07881957437632203
2002-08-31,0.0,0.0,0.00680117450204798
2002-09-30,0.0,0.0,-0.10485221226047325
2002-10-31,0.0,0.0,0.08228329783342248
2002-11-30,0.0,0.0,0.06168151528966548
2002-12-31,0.0,0.0,-0.05656959646036863
2003-01-31,0.0,0.0,-0.024594447543647924
2003-02-28,0.0,0.0,-0.013479328777751376
2003-03-31,-0.005653655179715611,-0.010381766928946878,0.0021397051003992917
2003-04-30,-0.001119563695626269,-0.0055542243292691085,0.08461216546804962
2003-05-31,0.16964328760225134,0.15382736136963104,0.05483628930466522
2003-06-30,-0.11575597541062077,-0.022692968329576124,0.010650965303409032
2003-07-31,0.008977828866111537,-0.0015552365234172694,0.01802851225484603
2003-08-31,0.03928735998245125,0.040454003642623304,0.020625630826405228
2003-09-30,-0.04394819380741721,-0.014206313130888493,-0.01090725935097625
2003-10-31,0.12852445034504645,0.09722360556647924,0.053527139819604885
2003-11-30,0.011155350290558141,0.037668761350777125,0.010921217763261826
2003-12-31,0.024827500080859766,0.02844528472045904,0.0503128580730261
2004-01-31,0.035852958679763125,0.0026156320635153385,0.019769950134315373
2004-02-29,-0.020005364310418217,-0.006101560635875525,0.013570502362997061
2004-03-31,0.007365796066562735,0.02304856139644107,-0.013245344038416151
2004-04-30,0.027894574304337505,-0.01157787973254698,-0.018921182351859023
2004-05-31,0.020572634791174993,0.012310380787124986,0.017122901733246154
2004-06-30,0.01377130529912618,0.018149428647094235,0.018501729392448762
2004-07-31,-0.0442927107499238,-0.04507836707919932,-0.032219152072351154
2004-08-31,-0.007456508919207794,-0.009356312225482055,0.0024366019222923363
2004-09-30,0.020289288814784534,0.014543996598184616,0.010036614540248845
2004-10-31,-0.010560176274052147,-0.006783734522807672,0.012884509380780118
2004-11-30,0.09831829397177128,0.07712596991074827,0.04451739758827267
2004-12-31,0.04789159054742398,0.04254861971926527,0.030121426539101215
2005-01-31,-0.010716021983951385,-0.019684718094067022,-0.022421212698390813
2005-02-28,0.021937949429966075,0.0213272816120198,0.020904327356457753
2005-03-31,-0.040963274551246154,-0.04617764203329189,-0.018292997164689462
2005-04-30,-0.05259986438355113,-0.06385638855377118,-0.01873512910381081
2005-05-31,0.023146939646638387,0.020912638174481524,0.03222452422223365
2005-06-30,0.048668403120794235,0.03098497971714176,0.0015152812222585244
2005-07-31,0.041736654251962824,0.042428657210665355,0.03826093484090709
2005-08-31,0.021219909551415173,-0.0006943312552647463,-0.00937394792836499
2005-09-30,0.023611117169734852,0.03218431010229472,0.008025860159558418
2005-10-31,-0.02294564889768902,-0.035383178141490834,-0.02365179524347505
2005-11-30,0.07506407141634219,0.06447516123908459,0.043953031879488735
